sex,types,level,birthday,following,fans,view,likes,album,article,video,audio
保密,-1,6.0,04-03,421,11,17506.0,19.0,1,0,2,0
男,-1,6.0,01-01,381,21,5593.0,36.0,1,0,4,0
男,-1,5.0,09-02,47,2,2681.0,7.0,8,0,2,0
保密,-1,6.0,01-01,217,83,5793.0,460.0,11,0,2,0
保密,-1,6.0,04-23,512,3391,1112266.0,7563.0,34,13,718,12
男,-1,4.0,01-01,13,121,30717.0,401.0,0,0,4,0
保密,-1,3.0,05-23,8,1087,1248.0,1031.0,7,0,1,0
男,-1,6.0,12-31,209,90,2130.0,24.0,0,0,2,0
保密,-1,6.0,07-17,43,289,763949.0,293.0,0,0,3,0
保密,-1,5.0,01-01,228,154,63776.0,726.0,0,0,27,0
男,-1,5.0,01-01,17,2,18.0,1.0,0,0,1,0
保密,-1,5.0,01-01,30,86,2143.0,77.0,0,0,1,0
保密,-1,5.0,07-24,14,603,34976.0,242.0,0,0,6,0
男,-1,6.0,01-01,0,23369,4643366.0,74209.0,5,1,35,0
男,-1,5.0,01-08,593,54,71353.0,96.0,2,0,5,0
男,-1,6.0,12-24,51,51,41555.0,96.0,0,0,14,0
保密,-1,3.0,01-01,18,102,22843.0,398.0,3,0,63,0
保密,-1,4.0,02-01,41,24,25865.0,98.0,2,0,2,0
男,-1,6.0,04-24,184,125,289784.0,295.0,7,0,5,0
男,-1,6.0,02-09,360,183,146693.0,411.0,1,0,34,0
男,-1,6.0,02-06,188,180,261187.0,362.0,1,1,17,0
男,-1,5.0,04-24,197,202,202269.0,287.0,1,0,11,0
男,-1,5.0,10-10,43,11,3266.0,14.0,0,0,5,0
保密,-1,6.0,01-01,258,419,213131.0,614.0,1,1,92,0
女,-1,6.0,10-31,117,83,60769.0,76.0,1,0,1,0
保密,-1,5.0,07-10,55,29,881.0,107.0,0,0,1,0
男,-1,5.0,01-21,0,10012,2013484.0,21997.0,0,130,1238,0
保密,-1,5.0,01-01,56,14,34886.0,56.0,0,0,7,0
保密,-1,5.0,09-12,121,36,6.0,13.0,0,0,0,0
男,-1,6.0,01-01,43,182,168152.0,812.0,4,0,11,0
女,0,6.0,06-26,188,568512,22500513.0,3043572.0,409,0,274,0
女,-1,5.0,01-01,314,5,17172.0,23.0,0,0,3,0
保密,-1,6.0,10-27,127,61,9867.0,28.0,1,0,1,0
保密,-1,5.0,01-01,82,91,820.0,132.0,4,0,1,0
男,-1,6.0,07-20,72,16816,650929.0,42684.0,251,0,20,0
男,-1,5.0,01-01,89,3,36.0,2.0,0,0,1,0
保密,-1,5.0,01-01,116,42,849.0,10.0,0,0,2,0
女,-1,5.0,01-01,227,17,6078.0,2.0,0,0,3,0
保密,-1,5.0,04-03,32,11,21929.0,4.0,5,0,19,0
保密,-1,6.0,01-01,72,1700,579703.0,3236.0,0,0,7,0
保密,-1,5.0,01-01,61,55,102.0,6.0,1,0,2,0
男,-1,6.0,02-03,37,12855,2600093.0,3320.0,3,0,276,0
男,-1,6.0,05-28,149,124,3081.0,30.0,0,0,2,0
男,-1,3.0,07-16,132,11,4798.0,339.0,2,0,1,0
保密,-1,3.0,01-01,83,7,9152.0,21.0,1,0,4,0
